match_id,label,role,minute,gold,cs,xp,kills,deaths,assists,damage_dealt,cc_score,apm,distance_moved,wards_placed,wards_killed
NA1_4990186094,0,UNKNOWN,1,500,0,0,0,0,0,0,0,5,0,0,0
NA1_4990186094,0,UNKNOWN,2,539,1,113,0,0,0,0,0,0,1479,0,0
NA1_4990186094,0,UNKNOWN,3,739,1,545,0,0,0,843,0,1,571,0,0
NA1_4990186094,0,UNKNOWN,4,915,2,901,0,0,0,1308,0,1,1320,0,0
NA1_4990186094,0,UNKNOWN,5,1365,2,1338,0,0,3,1740,0,4,11878,0,0
NA1_4990186094,0,UNKNOWN,6,1556,4,1622,0,0,3,1858,0,0,10732,0,0
NA1_4990186094,0,UNKNOWN,7,1766,6,1952,0,1,3,2322,0,1,1065,0,0
NA1_4990186094,0,UNKNOWN,8,1912,6,2064,0,1,3,2438,0,1,3652,0,0
NA1_4990186094,0,UNKNOWN,9,2274,8,2404,0,1,3,2770,2134,1,3096,0,0
NA1_4990186094,0,UNKNOWN,10,2498,10,2554,0,1,3,2803,2134,1,1793,0,0
NA1_4990186094,0,UNKNOWN,11,2692,10,2554,0,2,3,2972,5417,1,2301,0,0
NA1_4990186094,0,UNKNOWN,12,2934,12,2874,0,2,3,3026,7521,0,856,0,0
NA1_4990186094,0,UNKNOWN,13,3128,13,3156,0,2,3,3115,7521,2,1793,0,0
NA1_4990186094,0,UNKNOWN,14,3383,15,3560,0,2,3,3115,7521,1,3611,0,0
NA1_4990186094,0,UNKNOWN,15,3610,15,3751,0,2,4,3894,11279,0,2497,0,0
NA1_4995895351,0,UNKNOWN,1,500,0,0,0,0,0,533,0,5,0,0,0
NA1_4995895351,0,UNKNOWN,2,524,0,0,0,1,0,533,0,0,3502,0,0
NA1_4995895351,0,UNKNOWN,3,749,0,268,0,1,0,921,0,0,612,0,0
NA1_4995895351,0,UNKNOWN,4,950,0,755,0,1,0,1339,0,2,1120,0,0
NA1_4995895351,0,UNKNOWN,5,1125,1,1340,0,1,0,1576,0,1,2535,0,0
NA1_4995895351,0,UNKNOWN,6,1266,1,1340,0,1,0,1576,0,2,1285,0,0
NA1_4995895351,0,UNKNOWN,7,1506,3,1780,0,1,0,1840,0,1,1579,0,0
NA1_4995895351,0,UNKNOWN,8,1722,4,2322,0,1,0,2158,0,0,858,0,0
NA1_4995895351,0,UNKNOWN,9,1897,4,2526,0,1,0,2793,1559,2,5319,0,0
NA1_4995895351,0,UNKNOWN,10,2178,4,2749,0,1,0,2943,1559,0,5044,0,0
NA1_4995895351,0,UNKNOWN,11,2456,9,3217,0,1,0,3589,5116,1,552,0,0
NA1_4995895351,0,UNKNOWN,12,2682,9,3455,0,1,0,3847,5116,2,1333,0,0
NA1_4995895351,0,UNKNOWN,13,3221,10,3810,1,1,0,4653,7185,1,709,0,0
NA1_4995895351,0,UNKNOWN,14,3423,10,4129,1,2,0,5934,17362,3,1159,0,0
NA1_4995895351,0,UNKNOWN,15,3576,10,4190,1,2,0,5934,17362,0,12931,0,0
NA1_5034526733,0,UNKNOWN,1,500,0,0,0,0,0,0,0,5,0,0,0
NA1_5034526733,0,UNKNOWN,2,539,1,120,0,0,0,9,0,0,3698,0,0
NA1_5034526733,0,UNKNOWN,3,734,2,563,0,0,0,360,0,1,1126,0,0
NA1_5034526733,0,UNKNOWN,4,910,3,964,0,0,0,581,0,1,633,0,0
NA1_5034526733,0,UNKNOWN,5,1188,4,1386,0,0,0,668,0,1,2454,0,0
NA1_5034526733,0,UNKNOWN,6,1369,5,1607,0,0,0,805,0,3,11413,0,0
NA1_5034526733,0,UNKNOWN,7,1585,8,1887,0,0,0,805,0,1,10143,0,0
NA1_5034526733,0,UNKNOWN,8,1775,10,2310,0,1,0,1018,0,0,824,0,0
NA1_5034526733,0,UNKNOWN,9,1986,13,2450,0,1,0,1018,0,3,2706,0,0
NA1_5034526733,0,UNKNOWN,10,2179,15,2972,0,1,0,1018,0,0,2697,0,0
NA1_5034526733,0,UNKNOWN,11,2371,17,3395,0,1,0,1018,0,1,1235,0,0
NA1_5034526733,0,UNKNOWN,12,2634,20,3778,0,1,0,1018,0,0,1455,0,0
NA1_5034526733,0,UNKNOWN,13,2947,21,4223,0,1,1,1372,1759,1,3663,0,0
NA1_5034526733,0,UNKNOWN,14,3184,21,4383,0,1,1,2096,3344,3,9430,0,0
NA1_5034526733,0,UNKNOWN,15,3375,22,4643,0,1,1,2917,6593,0,6306,0,0
NA1_5051448837,0,UNKNOWN,1,500,0,0,0,0,0,0,0,5,0,0,0
NA1_5051448837,0,UNKNOWN,2,544,0,140,0,0,0,415,0,0,895,0,0
NA1_5051448837,0,UNKNOWN,3,1404,0,209,2,1,0,682,0,5,2081,0,0
NA1_5051448837,0,UNKNOWN,4,1600,1,490,2,1,0,888,0,1,66,0,0
NA1_5051448837,0,UNKNOWN,5,1800,1,992,2,1,0,1376,0,1,1271,0,0
NA1_5051448837,0,UNKNOWN,6,1981,1,1126,2,2,0,1446,0,2,303,0,0
NA1_5051448837,0,UNKNOWN,7,2166,4,1502,2,2,0,1446,1335,1,732,0,0
NA1_5051448837,0,UNKNOWN,8,2383,5,2025,2,2,0,1792,1335,1,791,0,0
NA1_5051448837,0,UNKNOWN,9,2634,5,2386,2,2,0,2417,1335,0,1539,0,0
NA1_5051448837,0,UNKNOWN,10,2808,5,2528,2,3,0,2693,1335,3,488,0,0
NA1_5051448837,0,UNKNOWN,11,3048,5,2911,2,4,0,2975,1335,0,2873,0,0
NA1_5051448837,0,UNKNOWN,12,3401,10,3406,2,4,0,2975,1335,2,1806,0,0
NA1_5051448837,0,UNKNOWN,13,4054,10,3908,3,4,0,3724,4675,1,694,0,0
NA1_5051448837,0,UNKNOWN,14,4227,10,3932,3,5,0,3914,4675,2,3274,0,0
NA1_5051448837,0,UNKNOWN,15,4504,10,4239,3,6,1,5009,9117,2,673,0,0
NA1_5051717120,0,UNKNOWN,1,500,0,0,0,0,0,0,0,5,0,0,0
NA1_5051717120,0,UNKNOWN,2,544,0,65,0,0,0,91,0,0,4619,0,0
NA1_5051717120,0,UNKNOWN,3,733,2,613,0,0,0,873,0,1,907,0,0
NA1_5051717120,0,UNKNOWN,4,934,2,1016,0,0,0,1145,0,1,635,0,0
NA1_5051717120,0,UNKNOWN,5,1119,5,1479,0,0,0,1189,0,1,2082,0,0
NA1_5051717120,0,UNKNOWN,6,1260,5,1479,0,0,0,1189,0,2,10895,0,0
NA1_5051717120,0,UNKNOWN,7,1480,5,1718,0,0,0,1709,0,0,9413,0,0
NA1_5051717120,0,UNKNOWN,8,1656,5,2102,0,0,0,1832,0,1,1520,0,0
NA1_5051717120,0,UNKNOWN,9,1834,6,2282,0,0,0,1832,0,1,5737,0,0
NA1_5051717120,0,UNKNOWN,10,2140,9,2721,0,0,0,1832,0,1,7452,0,0
NA1_5051717120,0,UNKNOWN,11,2412,9,2773,0,1,1,2531,1636,2,5129,0,0
NA1_5051717120,0,UNKNOWN,12,2687,10,2904,0,2,1,2965,1636,2,3802,0,0
NA1_5051717120,0,UNKNOWN,13,2870,10,3240,0,2,1,2965,1903,1,2235,0,0
NA1_5051717120,0,UNKNOWN,14,3363,13,3798,0,2,2,4234,3555,0,2669,0,0
NA1_5051717120,0,UNKNOWN,15,3545,14,4004,0,2,2,4431,3555,1,8958,0,0
NA1_5152466162,0,UNKNOWN,1,500,0,0,0,0,0,0,0,4,0,0,0
NA1_5152466162,0,UNKNOWN,2,539,1,120,0,0,0,0,3072,0,1994,0,0
NA1_5152466162,0,UNKNOWN,3,848,2,581,0,0,1,278,8115,1,148,0,0
